,Palabras,Ejemplos 
465,voice,Hearing his mom’s voice is all he need right now.
466,wife,My wife is away for the weekend.
467,whole,I have the whole house to myself.
468,police,The police have questioned him about the incident.
469,mind,This relaxation technique really eases my mind.
470,finally,I can finally move out from my old apartment.
471,pull,My baby niece likes to pull my hair.
472,return,I give her tickles in return.
473,free,The best things in life are free.
474,military,His dad is in the military.
475,price,This is the price you pay for lying.
476,report,Did you report this to the police?
477,less,I am praying for less stress this coming new year.
478,according,"According to the weather report, it’s going to rain today."
479,decision,This is a big decision for me.
480,explain,"I’ll explain everything later, I promise."
481,son,His son is so cute!
482,hope,I hope I’ll have a son one day.
483,even,"Even if they’ve broken up, they still remain friends."
484,develop,That rash could develop into something more serious.
485,view,This view is amazing!
486,relationship,They’ve taken their relationship to the next level.
487,carry,Can you carry my bag for me?
488,town,This town is extremely quiet.
489,road,There’s a road that leads to the edge of the woods.
490,drive,"You can’t drive there, you need to walk."
491,arm,He broke his arm during practice.
492,true,"It’s true, I’m leaving the company."
493,federal,Animal abuse is now a federal felony!
494,break,Don’t break the law.
495,better,You better learn how to follow rules.
496,difference,What’s the difference between happiness and contentment?
497,thank,I forgot to thank her for the pie she sent us.
498,receive,Did you receive the pie I sent you?
499,value,I value our friendship so much.
500,international ,Their brand has gone international!
501,building ,This building is so tall!
502,action ,You next action is going to be critical.
503,full ,My work load is so full now.
504,model ,A great leader is a great model of how to do things.
505,join ,He wants to join the soccer team.
506,season ,Christmas is my favorite season!
507,society ,Their society is holding a fund raiser.
508,because,I’m going home because my mom needs me.
509,tax ,How much is the current income tax?
510,director ,The director yelled ‘Cut!'
511,early ,I’m too early for my appointment.
512,position ,Please position your hand properly when drawing.
513,player ,That basketball player is cute.
514,agree ,I agree! He is cute!
515,especially ,I especially like his blue eyes.
516,record ,"Can we record the minutes of this meeting, please?"
517,pick,Did you pick a color theme already?
518,wear ,Is that what you’re going to wear for the party?
519,paper ,You can use a special paper for your invitations.
520,special ,Some special paper are even scented!
521,space,Please leave some space to write down your phone number.
522,ground ,The ground is shaking.
523,form,A new island was formed after that big earthquake.
524,support ,I need your support for this project.
525,event,We’re holding a big event tonight.
526,official,Our official wedding photos are out!
527,whose ,Whose umbrella is this?
528,matter ,What does it matter anyway?
529,everyone ,Everyone thinks I stole that file.
530,center ,I hate being the center of attention.
531,couple ,The couple is on their honeymoon now.
532,site,This site is so big!
533,end,It’s the end of an era.
534,project ,This project file is due tomorrow.
535,hit ,He hit the burglar with a bat.
536,base,All moms are their child’s home base.
537,activity ,What musical activity can you suggest for my toddler?
538,star,My son can draw a star!
539,table ,I saw him draw it while he was writing on the table.
540,need ,I need to enroll him to a good preschool.
541,court,There’s a basketball court near our house.
542,produce ,Fresh farm produce is the best.
543,eat ,I could eat that all day.
544,American ,My sister is dating an American.
545,teach ,I love to teach English lessons.
546,oil ,Could you buy me some cooking oil at the store?
547,half ,Just half a liter please.
548,situation,The situation is getting out of hand.
549,easy,I thought you said this was going to be easy?
550,cost ,The cost of fuel has increased!
551,industry,The fuel industry is hiking prices.
552,figure,Will our government figure out how to fix this problem?
553,face ,I can’t bear to face this horrendous traffic again and again.
554,street ,Let’s cross the street.
555,image,There’s an image of him stored inside my mind.
556,itself ,The bike itself is pretty awesome.
557,phone ,"Plus, it has a phone holder."
558,either,I either walk or commute to work.
559,data ,How can we simplify this data?
560,cover ,Could you cover for me during emergencies?
561,quite,I’m quite satisfied with their work.
562,picture ,"Picture this: a lake, a cabin, and lots of peace and quiet"
563,clear,That picture is so clear inside my head.
564,practice,Let’s practice our dance number.
565,piece ,That’s a piece of cake!
566,land,Their plane is going to land soon.
567,recent,This is her most recent social media post.
568,describe,Describe yourself in one word.
569,product,This is my favorite product in their new line of cosmetics.
570,doctor,The doctor is in.
571,wall,Can you post this up on the wall?
572,patient ,The patient is in so much pain now.
573,worker,She’s a factory worker.
574,news ,I saw that on the news.
575,test,I have to pass this English test.
576,movie,Let’s watch a movie later.
577,certain ,There’s a certain kind of magic in the air now.
578,north,Santa lives up north.
579,love,Christmas!
580,personal ,This letter is very personal.
581,open,Why did you open and read it?
582,support,Will you support him?
583,simply,I simply won’t tolerate bad behavior.
584,third,This is the third time you’ve lied to me.
585,technology,Write about the advantages of technology.
586,catch,"Let’s catch up soon, please!"
587,step,Watch your step.
588,baby,Her baby is so adorable.
589,computer,"Can you turn on the computer, please?"
590,type ,You need to type in your password.
591,attention,"Can I have your attention, please?"
592,draw,Can you draw this for me?
593,film,That film is absolutely mind-blowing.
594,Republican,He is a Republican candidate.
595,tree,That tree has been there for generations.
596,source,You are my source of strength.
597,red,I’ll wear a red dress tonight.
598,nearly,He nearly died in that accident!
599,organization,Their organization is doing great things for street kids.
600,choose,Let me choose a color.
601,cause,We have to see the cause and effect of this experiment.
602,hair ,I’ll cut my hair short for a change.
603,look – ,Can you look at the items I bought?
604,point ,What is the point of all this
605,century ,"We’re living in the 21st century, Mary."
606,evidence ,The evidence clearly shows that he is guilty.
607,window ,I’ll buy window curtains next week.
608,difficult ,"Sometimes, life can be difficult."
609,listen,You have to listen to your teacher.
610,soon ,I will launch my course soon.
611,culture ,I hope they understand our culture better.
612,billion ,My target is to have 1 billion dollars in my account by the end of the year.
613,chance ,Is there any chance that you can do this for me?
614,brother ,My brother always have my back.
615,energy ,Now put that energy into walking.
616,period ,They covered a period of twenty years.
617,course ,Have seen my course already?
618,summer ,I’ll go to the beach in summer.
619,less ,"Sometimes, less is more."
620,realize ,I just realize that I have a meeting today.
621,hundred ,I have a hundred dollars that I can lend you.
622,available ,I am available to work on your project.
623,plant ,Plant a seed.
624,likely ,It was likely a deer trail.
625,opportunity ,It was the perfect opportunity to test her theory.
626,term ,I’m sure there’s a Latin
627,short ,It was just a short stay at the hotel.
628,letter ,I already passed my letter of intent.
629,condition ,Do you know the condition I am in?
630,choice ,I have no choice.
631,place ,Let’s meet out at meeting place.
632,single ,I am a single parent.
633,rule ,It’s the rule of the law.
634,daughter ,My daughter knows how to read now.
635,administration ,I will take this up with the administration.
636,south ,I am headed south.
637,husband ,My husband just bought me a ring for my birthday.
638,Congress ,It will be debated at the Congress.
639,floor ,She is our floor manager.
640,campaign ,I handled their election campaign.
641,material ,She had nothing
642,population ,The
643,well ,I wish you well.
644,call ,I am going to call the bank.
645,economy ,The economy is booming.
646,medical ,She needs medical assistance.
647,hospital ,I’ll take her to the nearest hospital.
648,church  ,I saw you in church last Sunday.
649,close ,Please close the door.
650,thousand,There are a thousand reasons to learn English!
651,risk – ,Taking a risk can be rewarding.
652,current – ,What is your current address?
653,fire – ,Make sure your smoke alarm works in case of fire.
654,future,The future is full of hope.
655,wrong ,That is the wrong answer.
656,involve ,We need to involve the police.
657,defense ,What is your defense or reason you did this?
658,anyone ,Does anyone know the answer?
659,increase ,Let’s increase your test score.
660,security ,Some apartment buildings have security.
661,bank ,I need to go to the bank to withdraw some money.
662,myself ,I can clean up by myself.
663,certainly ,I can certainly help clean up.
664,west ,"If you drive West, you will arrive in California."
665,sport ,My favorite sport is soccer.
666,board ,Can you see the board?
667,seek ,Seek and you will find.
668,per ,Lobster is $20 per pound.
669,subject ,My favorite subject is English!
670,officer ,Where can I find a police officer?
671,private ,This is a private party.
672,rest ,Let’s take a 15 minute rest.
673,behavior ,This dog’s behavior is excellent.
674,deal ,A used car can be a good deal.
675,performance ,Your performance can be affected by your sleep.
676,fight ,I don’t want to fight with you.
677,throw ,Throw me the ball!
678,top ,You are a top student.
679,quickly ,Let’s finish reading this quickly.
680,past ,"In the past, my English was not as good as it is today."
681,goal ,My goal is to speak English fluently.
682,second ,My second goal is to increase my confidence.
683,bed ,I go to bed around 10pm.
684,order ,I would like to order a book.
685,author ,The author of this series is world-famous.
686,fill ,I need to fill (up) my gas tank.
687,represent ,I represent my family.
688,focus ,Turn off your phone and the TV and focus on your studies!
689,foreign ,It’s great having foreign friends.
690,drop ,Please don’t drop the eggs!
691,plan ,Let’s make a plan.
692,blood ,The hospital needs people to give blood.
693,upon ,"Once upon a time, a princess lived in a castle."
694,agency ,Let’s contract an agency to help with marketing.
695,push ,"The door says ‘push,’ not ‘pull.'"
696,nature ,I love walking in nature!
697,color – ,My favorite color is blue.
698,no ,No’ is one of the shortest complete sentences.
699,recently ,"I cleaned the bathroom most recently, so I think it’s your turn this time."
700,store ,I’m going to the store to buy some bread.
701,reduce ,"Reduce, reuse, and recycle are the ways to help the environment."
702,sound ,I like the sound of wind chimes.
703,note ,Please take notes during the lesson.
704,fine ,I feel fine.
705,before ,"Before the movie, let’s buy popcorn!"
706,near ,"Near, far, wherever you are, I do believe that the heart goes on."
707,movement ,The environmental movement is an international movement.
708,page ,Please turn to page 62.
709,enter ,You can enter the building on the left.
710,share ,Let me share my idea.
711,than ,Ice cream has more calories than water.
712,common ,Most people can find something in common with each other.
713,poor ,We had a poor harvest this year because it was so dry.
714,other  ,"This pen doesn’t work, try the other one."
715,natural ,"This cleaner is natural, there aren’t any chemicals in it."
716,race ,We watched the car race on TV.
717,concern – ,"Thank you for your concern, but I’m fine."
718,series ,What is your favorite TV series?
719,significant ,His job earns a significant amount of money.
720,similar ,"These earrings don’t match, but they are similar."
721,hot ,"Don’t touch the stove, it’s still hot."
722,language ,Learning a new language is fun.
723,each ,Put a flower in each vase.
724,usually ,I usually shop at the corner store.
725,response ,I didn’t expect his response to come so soon.
726,dead – ,"My phone is dead, let me charge it."
727,rise ,The sun will rise at 7:00 a.m.
728,animal ,What kind of animal is that?
729,factor ,Heredity is a factor in your overall health.
730,decade ,I’ve lived in this city for over a decade.
731,article ,Did you read that newspaper article?
732,shoot ,He wants to shoot arrows at the target.
733,east ,Drive east for three miles.
734,save ,I save all my cans for recycling.
735,seven ,There are seven slices of pie left.
736,artist ,Taylor Swift is a recording artist.
737,away ,I wish that mosquito would go away.
738,scene ,He painted a colorful street scene.
739,stock ,That shop has a good stock of postcards.
740,career ,Retail sales is a good career for some people.
741,despite ,"Despite the rain, we will still have the picnic."
742,central ,There is good shopping in central London.
743,eight ,That recipe takes eight cups of flour.
744,thus ,We haven’t had any problems thus far.
745,treatment ,I will propose a treatment plan for your injury.
746,beyond ,The town is just beyond those mountains.
747,happy ,Kittens make me happy.
748,exactly ,Use exactly one teaspoon of salt in that recipe.
749,protect ,A coat will protect you from the cold weather.
750,approach ,The cat slowly approached the bird.
751,lie ,Teach your children not to lie.
752,size ,What size is that shirt
753,dog ,Do you think a dog is a good pet?
754,fund ,I have a savings fund for college.
755,serious ,"She is so serious, she never laughs."
756,occur ,Strange things occur in that empty house.
757,media ,That issue has been discussed in the media.
758,ready ,Are you ready to leave for work?
759,sign ,That store needs a bigger sign.
760,thought ,I’ll have to give it some thought.
761,list ,I made a list of things to do.
762,individual ,You can buy an individual or group membership.
763,simple ,The appliance comes with simple instructions.
764,quality ,I paid a little more for quality shoes.
765,pressure ,There is no pressure to finish right now.
766,accept ,Will you accept my credit card?
767,answer ,Give me your answer by noon tomorrow.
768,hard ,That test was very hard.
769,resource ,The library has many online resources.
770,identify ,I can’t identify that plant.
771,left ,The door is on your left as you approach.
772,meeting ,We’ll have a staff meeting after lunch.
773,determine ,Eye color is genetically determined.
774,prepare ,I’ll prepare breakfast tomorrow.
775,disease ,Face masks help prevent disease.
776,whatever – ,Choose whatever flavor you like the best.
777,success ,Failure is the back door to success.
778,argue ,It’s not a good idea to argue with your boss.
779,cup ,Would you like a cup of coffee?
780,particularly ,"It’s not particularly hot outside, just warm."
781,amount ,It take a large amount of food to feed an elephant.
782,ability ,He has the ability to explain things well.
783,staff ,There are five people on staff here.
784,recognize ,Do you recognize the person in this photo?
785,indicate ,Her reply indicated that she understood.
786,character ,You can trust people of good character.
787,growth ,The company has seen strong growth this quarter.
788,loss ,The farmer suffered heavy losses after the storm.
789,degree ,Set the oven to 300 degrees.
790,wonder ,I wonder if the Bulls will win the game.
791,attack ,The army will attack at dawn.
792,herself ,She bought herself a new coat.
793,region ,What internet services are in your region?
794,television,I don’t watch much television.
795,box ,I packed my dishes in a strong box.
796,TV ,There is a good movie on TV tonight.
797,training ,The company will pay for your training.
798,pretty ,That is a pretty dress.
799,trade ,The stock market traded lower today.
800,deal ,I got a good deal at the store.
801,election ,Who do you think will win the election?
802,everybody ,Everybody likes ice cream.
803,physical ,Keep a physical distance of six feet.
804,lay ,"Lay the baby in her crib, please."
805,general ,My general impression of the restaurant was good.
806,feeling ,I have a good feeling about this.
807,standard ,The standard fee is $10.00.
808,bill ,The electrician will send me a bill.
809,message ,You have a text message on your phone.
810,fail ,I fail to see what is so funny about that.
811,outside ,The cat goes outside sometimes.
812,arrive ,When will your plane arrive?
813,analysis ,I’ll give you my analysis when I’ve seen everything.
814,benefit ,There are many health benefits to quinoa.
815,name ,What’s your name?
